Municipality,Precinct,ID,Registered,Voted,Turnout,Romney,Obama,Romney %,Obama %
Atglen,Atglen,5,744,561,0.754032258,299,252,0.532976827,0.449197861
Avondale,Avondale,10,477,302,0.63312369,96,197,0.317880795,0.652317881
Birmingham,Birmingham 1,14,1193,958,0.803017603,619,335,0.646137787,0.349686848
Birmingham,Birmingham 2,15,2114,1636,0.773888363,986,640,0.602689487,0.391198044
Caln,Caln 1,45,1157,918,0.793431288,411,483,0.447712418,0.526143791
Caln,Caln 2,50,1752,1050,0.599315068,271,771,0.258095238,0.734285714
Caln,Caln 3,53,3514,2403,0.683836084,1000,1357,0.416146484,0.564710778
Caln,Caln 4,54,2792,1875,0.671561605,796,1045,0.424533333,0.557333333
Charlestown,Charlestown,65,3984,3007,0.754769076,1548,1422,0.514798803,0.472896575
Coatesville City,Coatesville 1,70,1954,1159,0.593142272,228,916,0.196721311,0.790336497
Coatesville City,Coatesville 2,80,1534,890,0.580182529,70,812,0.078651685,0.912359551
Coatesville City,Coatesville 3,90,1101,657,0.596730245,53,601,0.080669711,0.914764079
Coatesville City,Coatesville 4-1,100,672,441,0.65625,80,354,0.181405896,0.802721088
Coatesville City,Coatesville 4-2,110,627,450,0.717703349,140,296,0.311111111,0.657777778
Coatesville City,Coatesville 5,120,1088,653,0.600183824,56,594,0.08575804,0.909647779
Downingtown,East Downingtown East,175,1475,1062,0.72,337,696,0.3173258,0.655367232
Downingtown,East Downingtown West,180,1308,913,0.698012232,347,547,0.380065717,0.599123768
Downingtown,West Downingtown North,185,1399,1009,0.72122945,391,601,0.387512389,0.595639247
Downingtown,West Downingtown South,190,708,541,0.764124294,176,356,0.325323475,0.658040665
East Bradford,East Bradford North 1,20,972,783,0.805555556,386,385,0.492975734,0.491698595
East Bradford,East Bradford North 2,21,2093,1660,0.793119924,919,729,0.553614458,0.439156627
East Bradford,East Bradford South 1,23,2817,2130,0.756123536,991,1106,0.465258216,0.519248826
East Bradford,East Bradford South 2,24,1661,1358,0.817579771,841,507,0.619293078,0.373343152
East Brandywine,East Brandywine North 1,35,1121,886,0.790365745,484,388,0.546275395,0.437923251
East Brandywine,East Brandywine North 2,36,1602,1308,0.816479401,687,603,0.525229358,0.461009174
East Brandywine,East Brandywine South,38,2366,1805,0.762890955,1055,729,0.584487535,0.403878116
East Caln,East Caln 1,55,1900,1428,0.751578947,638,774,0.446778711,0.542016807
East Caln,East Caln 2,56,1177,846,0.718776551,395,436,0.466903073,0.51536643
East Coventry,East Coventry 1,160,2959,2151,0.726934775,1130,979,0.525337053,0.455137146
East Coventry,East Coventry 2,165,1452,1089,0.75,626,444,0.574839302,0.407713499
East Fallowfield,East Fallowfield East,225,2166,1609,0.742843952,739,848,0.459291485,0.527035426
East Fallowfield,East Fallowfield West,230,2776,2047,0.737391931,901,1113,0.440156326,0.543722521
East Goshen,East Goshen 1,243,1545,1283,0.830420712,728,523,0.567420109,0.407638348
East Goshen,East Goshen 2,244,1426,1087,0.76227209,604,470,0.555657774,0.432382705
East Goshen,East Goshen 3,245,1421,1129,0.794510908,637,474,0.56421612,0.419840567
East Goshen,East Goshen 4,246,2267,1557,0.686810763,570,952,0.366088632,0.611432241
East Goshen,East Goshen 5,247,2000,1704,0.852,1122,577,0.658450704,0.338615023
East Goshen,East Goshen 6,248,1811,1497,0.82661513,865,621,0.577822311,0.414829659
East Goshen,East Goshen 7,249,2061,1631,0.791363416,1052,562,0.645003066,0.344573881
East Goshen,East Goshen 8,250,859,748,0.870779977,441,298,0.589572193,0.398395722
East Goshen,East Goshen 9,251,982,700,0.712830957,328,364,0.468571429,0.52
East Marlborough,East Marlborough East,355,1871,1510,0.807055051,845,651,0.559602649,0.431125828
East Marlborough,East Marlborough South,356,1478,1115,0.754397835,543,558,0.486995516,0.50044843
East Marlborough,East Marlborough West,360,2264,1743,0.769876325,868,837,0.497991968,0.48020654
East Nantmeal,East Nantmeal,375,1317,1046,0.794229309,562,473,0.537284895,0.452198853
East Nottingham,East Nottingham,405,4768,3476,0.729026846,2032,1387,0.584579977,0.399021864
East Pikeland,East Pikeland 1,515,2025,1630,0.804938272,817,795,0.501226994,0.487730061
East Pikeland,East Pikeland 2,520,1549,1169,0.754680439,615,525,0.526090676,0.449101796
East Pikeland,East Pikeland 3,521,1841,1453,0.789244976,693,725,0.476944253,0.498967653
East Vincent,East Vincent 1,680,794,605,0.761964736,332,262,0.548760331,0.433057851
East Vincent,East Vincent 2,681,1140,832,0.729824561,371,450,0.445913462,0.540865385
East Vincent,East Vincent 3,682,1250,971,0.7768,535,431,0.550978373,0.443872297
East Vincent,East Vincent 4,683,1071,877,0.818860878,550,316,0.62713797,0.36031927
East Whiteland,East Whiteland 1,735,1151,777,0.675065161,390,371,0.501930502,0.477477477
East Whiteland,East Whiteland 2,740,1842,1320,0.716612378,582,716,0.440909091,0.542424242
East Whiteland,East Whiteland 3,745,1124,887,0.789145907,353,514,0.397970688,0.579481398
East Whiteland,East Whiteland 4,750,1403,1081,0.770491803,522,545,0.482886216,0.504162812
East Whiteland,East Whiteland 5,752,548,450,0.821167883,174,269,0.386666667,0.597777778
East Whiteland,East Whiteland 6,754,736,579,0.786684783,280,286,0.483592401,0.493955095
Easttown,Easttown 1,195,1914,1561,0.815569488,986,567,0.631646381,0.3632287
Easttown,Easttown 2,198,1564,1276,0.815856777,730,536,0.572100313,0.420062696
Easttown,Easttown 3,201,1166,898,0.770154374,448,443,0.498886414,0.493318486
Easttown,Easttown 4,204,930,754,0.810752688,476,268,0.631299735,0.355437666
Easttown,Easttown 5,207,795,654,0.822641509,292,349,0.44648318,0.533639144
Easttown,Easttown 6,210,681,555,0.814977974,332,220,0.598198198,0.396396396
Easttown,Easttown 7,213,1009,791,0.7839445,333,451,0.420986094,0.570164349
Elk,Elk,215,1083,828,0.764542936,453,355,0.547101449,0.428743961
Elverson,Elverson,220,1004,807,0.803784861,533,261,0.66047088,0.323420074
Franklin,Franklin,240,3157,2378,0.753246753,1353,979,0.568965517,0.411690496
Highland,Highland,290,771,595,0.771725032,388,200,0.65210084,0.336134454
Honey Brook Borough,Honey Brook Borough,295,1034,694,0.671179884,398,284,0.573487032,0.409221902
Honey Brook Twp,Honey Brook Twp. 1,300,1475,1116,0.756610169,725,366,0.649641577,0.327956989
Honey Brook Twp,Honey Brook Twp. 2,301,2421,1679,0.693515076,1027,622,0.611673615,0.370458606
Kennett,Kennett Twp 1,320,1368,1063,0.777046784,588,467,0.553151458,0.439322672
Kennett,Kennett Twp 2,325,1760,1319,0.749431818,700,601,0.53070508,0.455648218
Kennett,Kennett Twp 3,328,838,725,0.865155131,270,451,0.372413793,0.622068966
Kennett,Kennett Twp 4,329,1708,1333,0.780444965,741,579,0.555888972,0.43435859
Kennett Square,Kennett Square North,305,970,659,0.679381443,250,396,0.379362671,0.60091047
Kennett Square,Kennett Square S-1,310,734,486,0.662125341,167,299,0.343621399,0.615226337
Kennett Square,Kennett Square S-2,315,981,644,0.656472987,200,438,0.310559006,0.680124224
London Britain,London Britain,330,2359,1808,0.766426452,916,864,0.506637168,0.477876106
London Grove,London Grove Chatham,340,1081,813,0.752081406,461,342,0.56703567,0.420664207
London Grove,London Grove South,345,3457,2519,0.728666474,1362,1122,0.54069075,0.445414847
Londonderry,Londonderry,335,1481,1146,0.773801485,685,437,0.597731239,0.381326353
Lower Oxford,Lower Oxford East,425,3035,1297,0.427347611,180,1113,0.138781804,0.858134156
Lower Oxford,Lower Oxford West,430,1284,895,0.697040498,565,318,0.631284916,0.355307263
Malvern,Malvern,350,2162,1697,0.784921369,748,915,0.440777843,0.5391868
Modena,Modena,370,261,152,0.582375479,36,114,0.236842105,0.75
New Garden,New Garden North,385,2141,1513,0.706679122,783,706,0.517514871,0.466622604
New Garden,New Garden South 1,390,2347,1716,0.731146144,990,708,0.576923077,0.412587413
New Garden,New Garden South 2,391,2101,1612,0.767253689,768,831,0.476426799,0.515508685
New London,New London,395,3908,2984,0.763561924,1766,1181,0.591823056,0.39577748
Newlin,Newlin,400,993,804,0.809667674,449,340,0.558457711,0.422885572
North Coventry,North Coventry East,145,1212,900,0.742574257,501,389,0.556666667,0.432222222
North Coventry,North Coventry Middle,150,1435,1058,0.73728223,503,532,0.475425331,0.502835539
North Coventry,North Coventry West 1,155,1112,842,0.757194245,444,381,0.527315914,0.452494062
North Coventry,North Coventry West 2,156,1434,1156,0.806136681,633,501,0.547577855,0.433391003
Oxford,Oxford East,415,685,417,0.608759124,155,250,0.371702638,0.599520384
Oxford,Oxford West,420,1738,1217,0.70023015,564,626,0.463434675,0.514379622
Parkesburg,Parkesburg North,440,746,501,0.671581769,208,281,0.415169661,0.560878244
Parkesburg,Parkesburg South,445,1329,942,0.708803612,403,521,0.427813163,0.553078556
Penn,Penn,450,3736,2840,0.760171306,1544,1266,0.543661972,0.445774648
Pennsbury,Pennsbury North 1,453,720,629,0.873611111,192,428,0.305246423,0.680445151
Pennsbury,Pennsbury North 2,454,773,604,0.781371281,359,239,0.594370861,0.395695364
Pennsbury,Pennsbury South 1,456,798,645,0.808270677,340,288,0.527131783,0.446511628
Pennsbury,Pennsbury South 2,457,648,507,0.782407407,298,205,0.587771203,0.40433925
Phoenixville,Phoenixville East 1,472,736,522,0.70923913,170,340,0.325670498,0.651340996
Phoenixville,Phoenixville East 2,473,814,603,0.740786241,271,317,0.449419569,0.525704809
Phoenixville,Phoenixville East 3,474,749,530,0.707610147,175,339,0.330188679,0.639622642
Phoenixville,Phoenixville Middle 1,467,711,451,0.634317862,132,303,0.292682927,0.671840355
Phoenixville,Phoenixville Middle 2,468,859,587,0.683352736,148,421,0.252129472,0.717206133
Phoenixville,Phoenixville Middle 3,469,801,571,0.712858926,200,342,0.350262697,0.598949212
Phoenixville,Phoenixville North 1,461,1146,910,0.794066318,409,480,0.449450549,0.527472527
Phoenixville,Phoenixville North 2,462,887,565,0.636978579,146,401,0.25840708,0.709734513
Phoenixville,Phoenixville North 3,463,1485,1082,0.728619529,411,650,0.379852126,0.600739372
Phoenixville,Phoenixville West 1,477,718,505,0.703342618,174,322,0.344554455,0.637623762
Phoenixville,Phoenixville West 2,478,766,499,0.651436031,168,324,0.336673347,0.649298597
Phoenixville,Phoenixville West 3,479,834,561,0.672661871,231,318,0.411764706,0.56684492
Pocopson,Pocopson,530,2627,2080,0.791777693,1152,899,0.553846154,0.432211538
Sadsbury,Sadsbury North,535,1270,913,0.718897638,465,425,0.509309967,0.465498357
Sadsbury,Sadsbury South,540,783,572,0.730523627,259,303,0.452797203,0.52972028
Schuylkill,Schuylkill 1,550,949,700,0.737618546,298,386,0.425714286,0.551428571
Schuylkill,Schuylkill 2,555,915,718,0.784699454,325,382,0.45264624,0.532033426
Schuylkill,Schuylkill 3,556,2381,1916,0.804703906,1084,820,0.565762004,0.427974948
Schuylkill,Schuylkill 4,558,1628,1338,0.821867322,760,566,0.568011958,0.423019432
South Coatesville,South Coatesville,140,898,641,0.713808463,122,513,0.190327613,0.800312012
South Coventry,South Coventry,170,1706,1337,0.783704572,758,550,0.566940912,0.411368736
Spring City,Spring City 1,560,602,421,0.699335548,187,225,0.444180523,0.534441805
Spring City,Spring City 2,565,248,169,0.681451613,70,91,0.414201183,0.538461538
Spring City,Spring City 3,570,542,369,0.680811808,144,213,0.390243902,0.577235772
Spring City,Spring City 4,575,564,379,0.671985816,158,210,0.416886544,0.55408971
Thornbury,Thornbury 1,580,1429,990,0.692792162,537,451,0.542424242,0.455555556
Thornbury,Thornbury 2,581,1330,966,0.726315789,497,458,0.514492754,0.474120083
Tredyffrin,Tredyffrin E-1,585,1477,1000,0.67704807,413,568,0.413,0.568
Tredyffrin,Tredyffrin E-2,590,1002,799,0.79740519,423,370,0.529411765,0.463078849
Tredyffrin,Tredyffrin E-3,595,757,619,0.817701453,258,351,0.416801292,0.567043619
Tredyffrin,Tredyffrin E-4,600,1005,815,0.810945274,467,340,0.573006135,0.417177914
Tredyffrin,Tredyffrin E-5,605,1882,1500,0.797024442,721,765,0.480666667,0.51
Tredyffrin,Tredyffrin M-1,614,656,499,0.760670732,211,278,0.422845691,0.557114228
Tredyffrin,Tredyffrin M-2,615,1420,1136,0.8,533,596,0.469190141,0.524647887
Tredyffrin,Tredyffrin M-3,616,934,756,0.809421842,417,329,0.551587302,0.435185185
Tredyffrin,Tredyffrin M-4,617,1649,1278,0.775015161,627,628,0.490610329,0.491392801
Tredyffrin,Tredyffrin M-5,618,916,750,0.818777293,407,338,0.542666667,0.450666667
Tredyffrin,Tredyffrin M-6,619,1259,1033,0.820492454,515,508,0.498547919,0.491771539
Tredyffrin,Tredyffrin M-7,620,505,377,0.746534653,187,188,0.49602122,0.49867374
Tredyffrin,Tredyffrin W-1,630,1722,1310,0.760743322,654,640,0.499236641,0.488549618
Tredyffrin,Tredyffrin W-2,635,2538,1992,0.784869976,948,1013,0.475903614,0.508534137
Tredyffrin,Tredyffrin W-3,640,882,708,0.802721088,324,379,0.457627119,0.535310734
Tredyffrin,Tredyffrin W-4,645,884,741,0.838235294,287,442,0.38731444,0.596491228
Tredyffrin,Tredyffrin W-5,647,2725,2080,0.763302752,887,1170,0.426442308,0.5625
Upper Oxford,Upper Oxford,435,1411,1057,0.749114103,654,380,0.618732261,0.359508042
Upper Uwchlan,Upper Uwchlan 1,665,1547,1268,0.819650937,723,527,0.570189274,0.415615142
Upper Uwchlan,Upper Uwchlan 2,666,2301,1826,0.793568014,1038,768,0.568455641,0.420591457
Upper Uwchlan,Upper Uwchlan 3,667,3303,2549,0.771722676,1310,1208,0.51392703,0.473911338
